Year,Month,Day,Wind_speed,Surf_Pressure,Precipitation,R_Humidity,T_Max,T_Min,Dew
1982,4,5,3.09,98.35,0.09,73.81,33.76,23.09,22.29
1982,4,6,2.57,98.34,3.4,80.25,31.46,23.65,22.55
1982,4,7,2.1,98.33,17.74,78.62,32.63,23.19,22.87
1982,4,8,2.74,98.32,14.11,80.69,31.57,23.27,23.17
1982,4,9,3.26,98.36,9.6,81.62,31.19,23.33,23
1982,4,10,3.18,98.43,10.58,83.69,30.15,23.44,22.65
1982,4,11,2.37,98.41,1.03,79.44,31.64,22.63,22.27
1982,4,12,2.74,98.37,2.09,85,28.94,23.07,22.62
1982,4,13,3.31,98.23,0.98,80.44,31.37,22.54,22.48
1982,4,14,3.57,98.26,0.41,82.69,29.37,23.04,22.47
1982,4,15,2.73,98.39,0.4,82,29.38,22.09,22
1982,4,16,2.71,98.43,5.55,78.88,31.98,22.4,22.4
1982,4,17,3.48,98.42,7.18,84.12,29.14,23.37,22.58
1982,4,18,2.4,98.32,6.81,82.38,30.26,22.18,22.46
1982,4,19,3.23,98.25,11.53,84.31,30.79,22.62,22.83
1982,4,20,2.96,98.33,7.17,83.56,31.25,22.22,22.84
1982,4,21,2.41,98.53,2.12,83.19,28.9,22.75,22.03
1982,4,22,2.95,98.57,0.91,80.88,29.94,21.13,21.11
1982,4,23,2.45,98.6,0.51,78.25,31.1,20.96,21.02
1982,4,24,3.14,98.59,0.5,78.25,32.13,21.62,21.55
1982,4,25,3.22,98.6,1.48,80.38,31.55,21.96,22.17
1982,4,26,2.9,98.6,1.44,84.56,28.69,22.98,22.47
1982,4,27,2.02,98.59,0.85,82.06,28.81,22.49,22.01
1982,4,28,1.96,98.42,0.6,74.81,33.34,22.07,21.82
1982,4,29,3.1,98.34,0.71,78.25,32.44,23.2,22.51
1982,4,30,2.52,98.41,3.27,80.19,31.46,22.82,22.47
1982,5,1,2.29,98.53,8.61,82.38,31.01,23.17,22.72
1982,5,2,1.28,98.6,20.43,85.56,28.83,22.77,22.78
1982,5,3,1.79,98.65,6.63,88.81,28.73,22.97,23.17
1982,5,4,2.53,98.65,1.62,85.81,29.01,22.65,22.51
1982,5,5,2.42,98.57,5.12,82,31.46,21.87,22.47
1982,5,6,3.45,98.49,4.43,84.06,30.52,22.74,23.11
1982,5,7,3.65,98.54,4.32,86.5,28.82,23.13,22.85
1982,5,8,3.32,98.64,4.28,89.19,27.62,22.59,22.52
1982,5,9,1.8,98.62,1.12,83.38,28.81,21.88,21.76
1982,5,10,1.7,98.54,0.38,79.56,30.66,21.79,21.76
1982,5,11,2.18,98.41,0.47,77.62,32.56,21.27,21.79
1982,5,12,2.74,98.37,2.18,80.12,31.99,22.15,22.44
1982,5,13,3.56,98.41,1.08,79.94,31.58,22.51,22.2
1982,5,14,2.57,98.47,0.22,79.62,30.23,22.24,21.79
1982,5,15,2.84,98.45,1.26,78.19,32.34,21.87,21.94
1982,5,16,3.33,98.47,0.72,78.31,32.58,22.09,21.61
1982,5,17,2.82,98.39,0.66,76.56,32.98,21.29,21.26
1982,5,18,2.77,98.35,3.18,77.12,33.04,21.73,21.83
1982,5,19,2.84,98.42,4.63,82.06,30.87,22.52,22.44
1982,5,20,2.52,98.55,1.97,80.31,31.42,22.15,21.98
1982,5,21,1.88,98.55,5.42,77.81,32.4,22.69,22.11
1982,5,22,2.97,98.5,5.25,81.06,31.44,22.38,22.42
1982,5,23,3.28,98.43,10.83,84.5,29.59,22.53,22.55
1982,5,24,1.7,98.37,16.07,84.81,29.8,22.49,22.79
1982,5,25,1.7,98.43,21.32,87.44,29.07,22.83,23.24
1982,5,26,2.48,98.58,21.37,92.19,27.26,23.23,23.47
1982,5,27,2.33,98.58,5.39,89.94,27.48,22.08,22.71
1982,5,28,1.82,98.5,5.84,88.19,28.37,22.13,22.83
1982,5,29,2.85,98.57,8.33,89.75,28.05,22.21,22.83
1982,5,30,2.45,98.7,9.39,89.12,27.56,22.33,22.6
1982,5,31,2.35,98.85,42.48,92.25,26.3,22.08,22.65
1982,6,1,3.01,98.85,17.81,92.75,26.12,22.05,22.55
1982,6,2,3.09,98.78,23.15,89.44,27.9,21.78,22.3
1982,6,3,1.98,98.78,9.64,89.5,27.55,21.3,22.01
1982,6,4,2.26,98.79,3.77,88.12,27.79,21.09,21.95
1982,6,5,1.96,98.83,6.51,85.31,28.86,20.99,21.74
1982,6,6,1.96,98.7,3.61,85.56,29.39,20.77,22.15
1982,6,7,2.41,98.61,5.78,89.5,28.29,22.09,22.84
1982,6,8,2.9,98.57,8.08,88.94,29.08,21.73,22.83
1982,6,9,2.46,98.62,8.37,87.88,28.9,21.63,22.85
1982,6,10,2.48,98.69,22.71,91,26.93,22.55,22.86
1982,6,11,2.62,98.69,17.52,90.94,27.3,21.83,22.51
1982,6,12,3.01,98.81,5.55,90.56,27.37,21.73,22.4
1982,6,13,2.99,98.8,14.72,88.56,28.28,21.08,22.19
1982,6,14,2.6,98.76,2.85,87.31,28.4,20.96,22.04
1982,6,15,3.34,98.66,8.35,87.44,29.17,21.08,22.27
1982,6,16,3.48,98.74,7.06,87.62,28.98,21.18,22.26
1982,6,17,3.71,98.83,10.9,88.75,28.44,20.98,22.04
1982,6,18,3.61,98.76,29.36,88.69,28.41,21.08,22.15
1982,6,19,2.69,98.69,27.45,91.19,26.46,21.03,22.01
1982,6,20,3.5,98.74,16.49,92.88,24.95,21.55,21.84
1982,6,21,3.12,98.84,1.97,90.81,27.38,21.4,22.17
1982,6,22,2.84,98.85,16.29,90.75,26.85,21.47,22.08
1982,6,23,3.25,98.71,17.9,89.25,28.25,21.24,22.32
1982,6,24,3.02,98.7,15.43,89.12,27.83,21.44,22.36
1982,6,25,2.46,98.73,25.6,88.94,28.8,21.63,22.55
1982,6,26,3.11,98.82,26.89,88.88,27.98,21.51,22.23
1982,6,27,3.34,98.73,14.18,91.12,26.9,21.45,22.16
1982,6,28,2.84,98.62,7.68,91.88,25.97,21.58,21.85
1982,6,29,2.39,98.7,30.29,90.38,27.12,21.11,21.87
1982,6,30,2.42,98.94,31.35,90.44,26.66,21.22,21.85
1982,7,1,2,98.98,16,87.62,28.27,21.36,22.11
1982,7,2,2.77,98.9,18.88,93.38,25.07,21.41,21.98
1982,7,3,3.8,98.72,17.74,89.81,27.44,20.42,21.58
1982,7,4,3.23,98.73,22.37,89.19,27.74,20.28,21.48
1982,7,5,3.03,98.8,12.9,91.38,25.53,20.27,21.31
1982,7,6,3.4,98.77,15.45,92.69,24.77,20.35,21.12
1982,7,7,2.84,98.69,9.28,90.88,26.64,20.38,21.48
1982,7,8,2.98,98.59,4.34,89.12,28.22,20.26,21.76
1982,7,9,3,98.61,3.75,88.38,27.98,20.23,21.57
1982,7,10,3.24,98.61,0.16,88.38,27.64,20.1,21.39
1982,7,11,3.52,98.66,12.66,92.25,24.96,20.65,21.24
1982,7,12,3.42,98.69,19.99,91.19,26.37,20.51,21.47
1982,7,13,3.03,98.75,7.7,90.44,26.78,20.47,21.58
1982,7,14,1.68,98.77,2.03,83.38,28.15,20.66,21.07
1982,7,15,1.76,98.71,3.22,85.25,28.7,20.57,21.71
1982,7,16,2.48,98.77,6.24,89.06,27.65,21.36,21.94
1982,7,17,3.86,98.73,4.97,90,27.07,20.83,21.57
1982,7,18,2.95,98.71,1.72,87.94,27.46,20.26,21.33
1982,7,19,2.66,98.65,1.86,87,27.48,20.69,21.23
1982,7,20,3.27,98.69,0.43,87.31,28.19,20.3,21.51
1982,7,21,3.45,98.74,0.34,87.38,27.84,20.29,21.31
1982,7,22,3.78,98.75,0.12,88.69,26.59,20.18,20.67
1982,7,23,4.38,98.77,0.77,87.5,27.04,19.73,20.44
1982,7,24,3.25,98.78,0.58,90.31,25.43,19.75,20.51
1982,7,25,4.01,98.73,0.1,87.5,27.05,20.18,20.83
1982,7,26,3.59,98.76,0.11,87.25,27.3,19.73,20.76
1982,7,27,3.25,98.73,0.05,87.31,27.76,19.28,20.76
1982,7,28,3.31,98.74,0.3,87.44,27.37,19.71,20.73
1982,7,29,2.84,98.81,0.1,86.31,27.67,19.63,20.64
1982,7,30,3.41,98.86,0.56,89.31,26.1,19.23,20.66
1982,7,31,3.95,98.84,2.24,89.62,26,19.83,20.68
1982,8,1,4.57,98.75,1.16,89.69,26.08,20.12,20.66
1982,8,2,4.71,98.72,0.82,88.5,26.59,20.04,20.51
1982,8,3,3.92,98.74,0.62,89.75,24.28,19.6,19.77
1982,8,4,4.15,98.72,0.5,88,25.94,18.73,19.69
1982,8,5,3.73,98.72,0.58,87,26.5,18,19.48
1982,8,6,3.62,98.74,2.09,89.69,24.49,18.54,19.33
1982,8,7,2.81,98.73,0.38,87.62,26.18,18.67,19.96
1982,8,8,4.3,98.81,0.58,87.5,26.62,18.76,19.79
1982,8,9,3.84,98.83,0.21,87.5,26.33,18.54,19.51
1982,8,10,3.88,98.86,0.58,86.56,27.04,17.93,19.63
1982,8,11,3.33,98.94,0.42,87.75,26.13,18.62,19.56
1982,8,12,2.95,98.88,0.48,86.62,27.65,18.1,20.3
1982,8,13,4.22,98.74,2.34,87.5,27.56,19.24,20.55
1982,8,14,4.09,98.82,4.11,88.12,27.19,19.33,20.44
1982,8,15,2.53,98.87,3.79,86.94,27.33,19.09,20.57
1982,8,16,2.45,98.78,19.95,86.31,28.26,19.94,21.26
1982,8,17,4.42,98.71,5.92,88.88,26.89,19.75,20.93
1982,8,18,4.53,98.69,3.78,88.62,27.32,19.64,20.67
1982,8,19,3.27,98.84,3.88,87.69,27.05,19.61,20.3
1982,8,20,3.87,98.87,8.7,88.75,25.67,19.48,20.23
1982,8,21,4.24,98.84,12.48,89.12,25.76,18.71,19.71
1982,8,22,3.83,98.89,3.49,86.56,26.79,17.53,19.48
1982,8,23,3.07,98.92,36.42,88.56,26.8,18.36,20.37
1982,8,24,4.07,98.77,4.24,88.25,27.24,19.13,20.6
1982,8,25,3.81,98.74,1.49,87.69,27.06,18.91,20.29
1982,8,26,3.22,98.67,2.34,87.75,27.33,18.87,20.44
1982,8,27,3.47,98.7,3.55,91.31,25.11,19.4,20.58
1982,8,28,3.22,98.67,3.6,86.94,27.74,19.51,20.74
1982,8,29,2.91,98.64,2.59,86.94,27.65,19.75,20.98
1982,8,30,3.59,98.59,2.35,88.56,27.41,20.26,21.29
1982,8,31,3.43,98.69,1.17,86.62,28.08,19.52,20.95
1982,9,1,3.59,98.69,1.94,88.62,27.12,20.05,20.92
1982,9,2,3.2,98.7,1.19,87.12,28.19,19.33,20.97
1982,9,3,3.58,98.67,5.02,88.69,27.37,19.75,20.96
1982,9,4,3.93,98.57,4.55,88.19,27.71,19.35,20.93
1982,9,5,3.8,98.65,4.9,89.25,26.58,19.61,20.76
1982,9,6,3.25,98.76,2.07,88.31,26.9,19.51,20.81
1982,9,7,2.55,98.7,2.28,86.5,28.86,19.98,21.51
1982,9,8,3.08,98.65,0.09,86.12,28.4,20,21.23
1982,9,9,2.75,98.72,0.18,87.44,25.73,20.05,20.48
1982,9,10,2.67,98.71,0.35,85.69,28.05,20.19,20.9
1982,9,11,3.57,98.73,0.27,86.12,27.88,20.03,20.93
1982,9,12,3.17,98.75,0.36,85.56,28.21,19.77,20.94
1982,9,13,2.8,98.67,3.49,87.56,28.04,20.25,21.52
1982,9,14,3.24,98.59,2.86,86.56,28.08,20.37,21.26
1982,9,15,3.97,98.64,3.55,86.38,28.31,19.99,21.15
1982,9,16,2.55,98.74,1.61,85.19,28.51,19.57,20.92
1982,9,17,2.48,98.71,2.95,86.44,28.16,20.46,21.45
1982,9,18,3.47,98.69,0.13,87.25,27.86,20.69,21.31
1982,9,19,3.23,98.75,0.14,85.62,28.65,19.86,21.02
1982,9,20,2.17,98.75,0.09,83.38,29.66,20.11,21.38
1982,9,21,2.12,98.76,0.11,83,29.55,20.76,21.44
1982,9,22,2.02,98.7,0.14,82.56,30.15,20.28,21.74
1982,9,23,2.97,98.64,3.5,85.12,29.02,20.98,21.94
1982,9,24,2.97,98.58,4.78,86.12,28.5,20.76,21.69
1982,9,25,2.07,98.68,3.12,85.5,27.9,20.94,21.26
1982,9,26,2.01,98.66,3.13,83.12,29.63,20.53,21.68
1982,9,27,2.27,98.58,6.56,84.62,29.98,21.28,22.02
1982,9,28,3.18,98.54,0.73,85.06,29.76,20.76,22.01
1982,9,29,3.08,98.65,1.04,84.69,29.51,20.75,21.73
1982,9,30,2.65,98.66,1.78,84.38,29.15,20.46,21.65
1982,10,1,2.86,98.56,2.02,86.31,28.36,21.34,21.79
1982,10,2,3.3,98.54,1.24,85.81,27.85,20.96,21.26
1982,10,3,2.12,98.63,5.17,84.25,28.6,20.08,21
1982,10,4,2.34,98.63,4.62,86,28.34,20.1,21.21
1982,10,5,2.29,98.64,3.98,85.5,27.58,19.86,20.78
1982,10,6,2.48,98.61,14.96,86.56,28.62,20.51,21.63
1982,10,7,2.38,98.6,23.17,86.25,28.7,21.25,22.13
1982,10,8,2.94,98.53,26.54,94.06,25.01,21.9,22.28
1982,10,9,3.32,98.48,9.45,89,27.96,21.01,21.81
1982,10,10,3.16,98.51,40.42,88.19,28.16,20.88,21.95
1982,10,11,3.29,98.53,27.72,92.38,25.26,21.06,21.44
1982,10,12,2.28,98.56,18,89.75,26.53,19.82,20.94
1982,10,13,2.41,98.51,7.98,89.5,27.85,20.28,21.73
1982,10,14,2.66,98.55,15.21,88.31,27.86,21.1,21.88
1982,10,15,3.48,98.65,9.05,90.56,26.98,21.48,21.83
1982,10,16,2.89,98.59,12.03,88.06,28.66,20.91,22.05
1982,10,17,2.79,98.55,4.72,87.38,29.02,20.8,22.05
1982,10,18,2.34,98.51,0.31,86.88,28.82,21.09,21.99
1982,10,19,2.77,98.57,0.82,88.69,27.87,21.34,22.05
1982,10,20,2.12,98.58,1.68,87,29.11,20.77,22.16
1982,10,21,2.02,98.45,0.59,86.12,29.73,21.12,22.4
1982,10,22,3.38,98.35,1.86,88.12,28.05,21.69,22.26
1982,10,23,2.41,98.5,5.24,87.25,28.72,21.39,22.12
1982,10,24,2.64,98.6,4.28,88.19,28.61,21.17,22.08
1982,10,25,2.69,98.64,3.34,88.38,28.4,20.9,21.88
1982,10,26,2.06,98.58,10.34,88.19,27.75,21.21,21.73
1982,10,27,2.94,98.51,7.33,89.56,27.24,21.3,21.76
1982,10,28,2.45,98.54,2.15,87,28.49,20.48,21.63
1982,10,29,2.01,98.64,1.54,86.88,27.94,20.6,21.64
1982,10,30,2.16,98.66,2.49,86.81,27.98,20.82,21.65
1982,10,31,2.09,98.5,5.73,87.19,28.58,20.8,21.95
1982,11,1,1.83,98.37,6.08,87.44,28.15,21.43,21.86
1982,11,2,2.02,98.36,0.54,86.25,28.58,20.19,21.5
1982,11,3,2.42,98.49,0.6,86.69,28.56,20.63,21.76
1982,11,4,2.24,98.56,0.85,86.06,28.39,20.82,21.77
1982,11,5,2.01,98.45,0.79,85.69,29.41,20.81,21.98
1982,11,6,1.91,98.33,1.12,85.44,29.54,21.15,22.15
1982,11,7,2.73,98.41,1.04,86.5,28.91,21.3,22.07
1982,11,8,2.2,98.67,0.6,85.44,28.73,20.56,21.56
1982,11,9,1.56,98.62,1.78,81.75,29.8,20.66,21.65
1982,11,10,2.14,98.49,2.03,83.5,29.62,21.26,21.82
1982,11,11,2.07,98.47,1.17,83.69,29.65,21.11,21.88
1982,11,12,2.11,98.47,1.49,83.38,29.3,20.96,21.65
1982,11,13,2.06,98.58,2.43,82.94,29.22,21.19,21.51
1982,11,14,2.02,98.61,2.32,84.75,29.01,21.08,21.72
1982,11,15,1.81,98.53,0.47,81.69,29.49,21.17,21.65
1982,11,16,1.95,98.49,0.7,83.81,29.7,21.17,21.98
1982,11,17,1.8,98.48,5.52,82.94,29.72,21.27,21.99
1982,11,18,2.12,98.47,6.97,84.44,29.47,21.83,22.28
1982,11,19,2.03,98.49,8.39,85.62,29.22,21.49,22.23
1982,11,20,2.32,98.52,6.1,85.5,28.59,21.5,22.1
1982,11,21,1.63,98.47,4.76,79.44,29.31,21.34,21.3
1982,11,22,0.91,98.47,0.03,76.5,28.71,20.98,20.14
1982,11,23,1.61,98.56,0.07,78.88,28.87,20.25,20.43
1982,11,24,2.09,98.55,0.08,79.69,29.3,20.19,20.7
1982,11,25,1.2,98.59,0.03,76.56,29.01,20.28,19.91
1982,11,26,1.96,98.56,0.07,79.62,29.32,19.36,20.31
1982,11,27,1.97,98.52,0.46,76.25,29.43,19.5,19.58
1982,11,28,1.78,98.6,0.11,73.19,29.66,18.48,18.65
1982,11,29,2.08,98.74,0.12,80.12,28.66,19.14,20.05
1982,11,30,1.62,98.75,0.83,82.25,29.61,19.72,21.07
1982,12,1,1.94,98.73,3.38,84,29.03,21.4,21.59
1982,12,2,2.17,98.67,0.37,83.19,28.93,20.48,21.07
1982,12,3,1.62,98.57,0.18,77.94,29.66,19.86,20.33
1982,12,4,1.3,98.43,0.16,74.62,30.62,20.24,20.21
1982,12,5,2.48,98.39,0.64,80,30.3,19.77,20.71
1982,12,6,2.49,98.44,0.61,80.44,29.47,19.49,20.25
1982,12,7,2.48,98.54,0,65.5,28.03,18.05,15.4
1982,12,8,2.61,98.66,0.69,68.31,27.94,19.12,16.37
1982,12,9,3.28,98.65,0,69,29.03,18.33,16.67
1982,12,10,1.54,98.59,0.01,67.94,30.33,19.28,17.58
1982,12,11,1.75,98.46,0.7,70.69,30.15,20.2,18.87
1982,12,12,1.83,98.41,0,73.56,29.8,19.43,19.36
1982,12,13,1.53,98.5,0,74.81,30.4,20.39,19.99
1982,12,14,1.91,98.54,0,78.88,28.91,21.44,20.48
1982,12,15,1.84,98.53,0,75.31,30.76,19.65,19.82
1982,12,16,1.72,98.49,0,76.19,30.57,20.79,20.55
1982,12,17,1.83,98.41,0.06,77.31,30.65,21.26,20.89
1982,12,18,2.24,98.41,0.09,77,31.04,21.23,21.19
1982,12,19,1.91,98.53,0.05,76,31.76,21.1,20.83
1982,12,20,1.17,98.64,0.02,64.88,31.94,21.58,18.62
1982,12,21,2.22,98.56,0.04,75.12,32,21.08,20.83
1982,12,22,2.47,98.46,0.92,77.06,31.53,21.46,21.33
1982,12,23,2.59,98.46,1.15,79.94,30.56,21.82,21.73
1982,12,24,1.84,98.4,0.85,77.12,31.23,21.44,21.32
1982,12,25,2.2,98.53,0.33,78.69,29.83,21.95,21.11
1982,12,26,2.05,98.54,0.35,71.75,31.87,21.95,19.9
1982,12,27,1.15,98.45,0,61.94,32.64,19.36,16.93
1982,12,28,2.09,98.36,0,58.38,31.94,20.16,15.78
1982,12,29,1.69,98.36,0,55.62,32.08,19.53,15.35
1982,12,30,1.69,98.36,0,72.12,32.39,20.43,19.73
1982,12,31,1.7,98.46,0,72.19,32.32,20.58,19.76
1983,1,1,2.3,98.53,0,68.06,32.8,20.94,18.58
1983,1,2,2.37,98.55,0,68.06,32.64,19.23,17.8
1983,1,3,2.2,98.56,0,57.75,32.15,18.8,14.43
1983,1,4,3.09,98.67,0,56.25,31.94,16.05,12.93
1983,1,5,3.12,98.7,0,58,30.92,16.09,12.88
1983,1,6,3.63,98.74,0,55.31,29.58,14.38,10.32
1983,1,7,3.98,98.67,0,54.5,30.62,14.34,10.26
1983,1,8,2.8,98.59,0,57,31.26,14.05,12.48
1983,1,9,2.27,98.51,0,57.06,31.62,16.6,13.57
1983,1,10,2.22,98.45,0,58,32.08,18.81,14.77
1983,1,11,2.25,98.43,0,56.5,32.47,17.87,14.65
1983,1,12,2.8,98.47,0,55.62,32.55,18.17,14.12
1983,1,13,4.06,98.47,0,54.38,31.78,15.74,11.52
1983,1,14,3.02,98.49,0,54.19,31.43,15.44,12.01
1983,1,15,2.39,98.5,0,53.56,31.95,17.27,13.46
1983,1,16,2.44,98.49,0,53.88,33.01,19.71,14.51
1983,1,17,2.16,98.53,0,54.12,33.33,18.83,14.69
1983,1,18,2.44,98.48,0,53.62,34.62,17.6,14.42
1983,1,19,2.11,98.44,0,55,34.33,19.15,15.01
1983,1,20,1.68,98.45,0,55.31,33.97,19.36,14.94
1983,1,21,2.24,98.53,0,58.5,34.73,20.51,15.81
1983,1,22,1.47,98.62,0,63.56,34.51,20.41,17.87
1983,1,23,2.31,98.72,0,64.19,34.47,20.25,17.88
1983,1,24,3.51,98.72,0,52.5,32.8,19.36,11.8
1983,1,25,3.22,98.66,0,46,33.36,15.33,8.92
1983,1,26,2.95,98.67,0,48.75,33.44,14.3,10.86
1983,1,27,3.35,98.7,0,47.5,32.7,15.75,10.48
1983,1,28,3.56,98.71,0,44.19,32.35,15.98,9
1983,1,29,4.28,98.58,0,42.06,32.82,15.85,7.85
1983,1,30,3.9,98.6,0,43.19,32.88,15.2,8.2
1983,1,31,3.41,98.58,0,41.56,34.04,15.57,8.26
1983,2,1,1.85,98.49,0,46.94,34.65,16.99,12.05
1983,2,2,1.73,98.39,0,47.88,35.27,20.76,13.08
1983,2,3,2.1,98.45,0,53.25,35.26,19.53,14.73
1983,2,4,2.53,98.47,0,59.69,36.48,19.95,17.44
1983,2,5,2.91,98.42,0,63.06,35.87,22.55,19.31
1983,2,6,2.22,98.37,0,62.38,35.51,22.28,19.33
1983,2,7,3.16,98.29,0,61.25,36.05,22.44,19.23
1983,2,8,3.79,98.25,0,62.06,37.02,22.79,19.73
